Exercise,Group,Tool,Current weight -12 reps (kg),Objective - 12 reps (kg),Milifranz,Duration,Video
Bend and reach,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Bridge,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Curtsy lunge,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Deadlift,Legs,Kettlebells (2),20.0,0.0,Infinity,0:00,
Donkey kick,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Fire hydrant,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Glute stretch,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Hip raise,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Jump - ninja tuck,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Lateral lunges,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Lateral skater,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Leg curl,Legs,Machine,40.0,0.0,Infinity,0:00,
Leg extension,Legs,Machine,40.0,0.0,Infinity,0:00,
Lunges,Legs,Bodyweight,0.0,0.0,NaN,0:30,
One legged bridge,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Pendulum swing,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Pike jump,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Side leg raise,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat,Legs,Sandbag,15.0,0.0,Infinity,0:00,https://www.youtube.com/watch?v=44eHWUBx54I
Squat,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat - kneeling,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat - narrow,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat - pile overhead,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat - pistol,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat jump - 360 degree,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Table top - toe grab,Legs,Bodyweight,0.0,0.0,NaN,0:30,
Squat to Arnold press,"Legs,Shoulders",Dumbbells (2),10.0,0.0,Infinity,,
Chest press,Chest,Dumbbells (2),15.0,0.0,Infinity,0:00,
Dips,Chest,Bodyweight,0.0,0.0,NaN,0:00,
Pullover,Chest,Dumbbell (1),12.5,0.0,Infinity,0:00,
Push up,Chest,Bodyweight,0.0,0.0,NaN,0:30,
Push up - clapping,Chest,Bodyweight,0.0,0.0,NaN,0:30,
Push up - cross body,Chest,Bodyweight,0.0,0.0,NaN,0:30,
Push up - downward facing dog,Chest,Bodyweight,0.0,0.0,NaN,0:30,
Push up - one armed,Chest,Bodyweight,0.0,0.0,NaN,0:30,
Push up - toe touch,Chest,Bodyweight,0.0,0.0,NaN,0:30,
Arm hauler,Back,Bodyweight,0.0,0.0,NaN,0:30,
Bent-over row - undergrip,Back,Dumbbells (2),7.5,0.0,Infinity,0:00,
Chin up,Back,Bodyweight,0.0,0.0,NaN,0:00,
Deadhang pull up - wide grip,Back,Bodyweight,0.0,0.0,NaN,0:00,
Deadlift,Back,Barbell,50.0,0.0,Infinity,0:00,
Lat pulldown,Back,Machine,40.0,0.0,Infinity,0:00,
Seated row,Back,Machine,40.0,0.0,Infinity,0:00,
Single arm row,Back,Dumbbell (1),12.5,0.0,Infinity,0:00,
Standing 3x7,Biceps,Dumbbells (2),7.0,0.0,Infinity,0:00,
Standing curl - alternate,Biceps,Dumbbells (2),12.5,0.0,Infinity,0:00,
Standing curl - simultaneous,Biceps,Bodyweight,0.0,0.0,NaN,0:30,
Standing hammer curl - alternate,Biceps,Dumbbells (2),12.5,0.0,Infinity,0:00,
Standing reverse curl - alternate,Biceps,Dumbbells (2),12.5,0.0,Infinity,0:00,
Standing reverse curl - simultaneous,Biceps,Dumbbells (2),12.5,0.0,Infinity,0:00,
Standing twisting curl - alternate,Biceps,Dumbbells (2),12.5,0.0,Infinity,0:00,
Standing twisting curl - simultaneous,Biceps,Dumbbells (2),12.5,0.0,Infinity,0:00,
Bent-over row,Triceps,Dumbbells (2),7.0,0.0,Infinity,0:00,
Cable overhead extension (medium),Triceps,Cable rope,15.0,0.0,Infinity,0:00,
Kickbacks,Triceps,Dumbbells (2),4.0,0.0,Infinity,0:00,
Overhead extension,Triceps,Dumbbell (1),14.0,0.0,Infinity,0:00,
Skullcrusher,Triceps,Kettlebell (1),8.0,0.0,Infinity,0:00,
Arnold press,Shoulders,Dumbbells (2),7.5,0.0,Infinity,0:00,
Front raise,Shoulders,Sandbag,15.0,0.0,Infinity,0:00,
Front raise,Shoulders,Dumbbells (2),7.0,0.0,Infinity,0:00,
Lateral raise,Shoulders,Kettlebells (2),6.0,0.0,Infinity,0:00,
Lateral raise,Shoulders,Dumbbells (2),7.0,0.0,Infinity,0:00,
Shrug,Neck,Kettlebells (2),20.0,0.0,Infinity,0:00,
Upright row,Neck,Kettlebells (2),8.0,0.0,Infinity,0:00,
Hand walkouts,Abs,Bodyweight,0.0,0.0,NaN,0:30,
Plank - forearm,Abs,Bodyweight,0.0,0.0,NaN,0:30,
Roman chair knee raise,Abs,Dumbbell (1),5.0,0.0,Infinity,0:00,
Sit up - V,Abs,Bodyweight,0.0,0.0,NaN,0:30,
3K,Cardio,None,,0.0,NaN,14:00,
30m,Cardio,None,,0.0,NaN,30:00,
Battle ropes - bilateral waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,
Battle ropes - inside waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,
Battle ropes - slamming waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,
Battle ropes - snake waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,
Battle ropes - unilateral waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,
Burpee - jump split,Cardio,Bodyweight,0.0,0.0,NaN,0:30,
Burpee - single legged,Cardio,Bodyweight,0.0,0.0,NaN,0:30,